Question,Answer
Q912: What is a bank overdraft?,"A bank overdraft allows you to withdraw more money than you have in your account, up to a set limit."
Q913: What are the interest rates on fixed deposits?,"Our fixed deposit interest rates range from 3% to 6%, depending on the tenure."
Q914: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q915: How can I check my account balance?,"You can check your balance via internet banking, mobile banking, or by visiting an ATM."
Q916: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q917: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q918: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q919: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q920: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q921: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
Q922: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q923: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q924: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q925: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q926: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q927: How can I reset my internet banking password?,You can reset your password using the 'Forgot Password' option on the login page.
Q928: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q929: How can I reset my internet banking password?,You can reset your password using the 'Forgot Password' option on the login page.
Q930: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q931: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q932: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q933: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q934: How long does it take for a loan application to be processed?,Loan applications are typically processed within 5-7 working days.
Q935: How can I reset my internet banking password?,You can reset your password using the 'Forgot Password' option on the login page.
Q936: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q937: How can I check my account balance?,"You can check your balance via internet banking, mobile banking, or by visiting an ATM."
Q938: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q939: How long does it take for a loan application to be processed?,Loan applications are typically processed within 5-7 working days.
Q940: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q941: What are the interest rates on fixed deposits?,"Our fixed deposit interest rates range from 3% to 6%, depending on the tenure."
Q942: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q943: How can I reset my internet banking password?,You can reset your password using the 'Forgot Password' option on the login page.
Q944: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q945: What is a bank overdraft?,"A bank overdraft allows you to withdraw more money than you have in your account, up to a set limit."
Q946: How long does it take for a loan application to be processed?,Loan applications are typically processed within 5-7 working days.
Q947: What is a bank overdraft?,"A bank overdraft allows you to withdraw more money than you have in your account, up to a set limit."
Q948: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q949: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q950: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q951: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q952: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q953: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q954: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q955: How long does it take for a loan application to be processed?,Loan applications are typically processed within 5-7 working days.
Q956: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q957: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q958: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q959: What are the interest rates on fixed deposits?,"Our fixed deposit interest rates range from 3% to 6%, depending on the tenure."
Q960: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q961: How can I reset my internet banking password?,You can reset your password using the 'Forgot Password' option on the login page.
Q962: How can I check my account balance?,"You can check your balance via internet banking, mobile banking, or by visiting an ATM."
Q963: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q964: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q965: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q966: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q967: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q968: How can I reset my internet banking password?,You can reset your password using the 'Forgot Password' option on the login page.
Q969: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q970: How long does it take for a loan application to be processed?,Loan applications are typically processed within 5-7 working days.
Q971: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q972: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q973: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q974: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q975: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q976: How can I reset my internet banking password?,You can reset your password using the 'Forgot Password' option on the login page.
Q977: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q978: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q979: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q980: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q981: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q982: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q983: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q984: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q985: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q986: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q987: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q988: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q989: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q990: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q991: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
Q992: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q993: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q994: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q995: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q996: How can I check my account balance?,"You can check your balance via internet banking, mobile banking, or by visiting an ATM."
Q997: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q998: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
Q999: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q1000: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
